time,theta_PID1_noload,theta_PID2_noload,theta_PID3_noload,theta_ref,Volt_PID1_noload,Volt_PID2_noload,Volt_PID3_noload
1.21,99.5051155898002,103.174259089591,92.953486644754,90,-0.340423011018242,4.4515580709651,-0.699574069672018
1.22,105.951982012176,110.609296223253,98.4508086423544,90,-2.55284184772527,2.00547275691864,-2.26262668228884
1.23,111.976427130367,117.729751419365,103.552988727965,90,-4.63099395643343,-0.395599528852826,-3.6982422768365
1.24,117.518553172088,124.463302899018,108.222504288239,90,-6.55355077307747,-2.72645799594063,-4.99631108916976
1.25,122.527272808273,130.743728420203,112.429415145488,90,-8.30212162076974,-4.96330356769217,-6.14904968331807
1.26,126.960672064263,136.511585212897,116.151304158971,90,-9.86139338436714,-7.08399891536889,-7.1509648611566
1.27,130.786212478054,141.714759118783,119.373119485212,90,-11.2192152502465,-9.06829200474074,-7.99878861436756
1.28,133.980783604509,146.308890935508,122.086928521731,90,-12.3666321151243,-10.8980047464985,-8.69138736201996
1.29,136.530616503073,150.257686092206,124.291593465297,90,-13.29787011525,-12.5571878029124,-9.22964865153978
1.3,138.431068845098,153.533112775103,125.99237837875,90,-14.0102777359305,-14.0322423257333,-9.61634845585076
1.31,139.68629254262,156.115493208656,127.200497624748,90,-14.5042260643898,-15.312009304686,-9.856002157642
1.32,140.308795196588,157.993492784521,127.932615454297,90,-14.7829718990516,-16.3878272345565,-9.95470226160759
1.33,140.318907092649,159.164011977337,128.21030640977,90,-14.8524875919475,-17.2535589201867,-9.91994580993031
1.34,139.744165869586,159.631986391583,128.059486003341,90,-14.7212616546516,-17.9055884023113,-9.76045439115447
1.35,138.618631303174,159.410100773898,127.50982085625,90,-14.4000742857553,-18.3427891808612,-9.48598952604195
1.36,136.982142856354,158.518423346614,126.594127131228,90,-13.9017520686757,-18.566465119685,-9.10716608576948
1.37,134.87953272638,156.983967331868,125.34776566259,90,-13.2409061357567,-18.5802656254368,-8.63526624878774
1.38,132.35980706097,154.840187013076,123.808041691305,90,-12.4336580944525,-18.390076894553,-8.08205633452644
1.39,129.475307815145,152.126416101278,122.013616553261,90,-11.4973579624126,-18.003891209027,-7.45960866716073
1.4,126.280867380086,148.887256523469,120.003938056434,90,-10.450298260867,-17.431656429065,-6.78013042349477
1.41,122.832967640665,145.171926018497,117.818695626224,90,-9.31142827151914,-16.6851079749839,-6.05580120854333
1.42,119.188914518034,141.033573107043,115.497305607724,90,-8.10007227398427,-15.7775857092745,-5.29862088359142
1.43,115.406038338898,136.528568092186,113.078431399076,90,-6.83565535224891,-14.7238382208357,-4.520268947406
1.44,111.540929556686,131.715778744708,110.59954236138,90,-5.53744009391819,-13.5398170759284,-3.73197654483989
1.45,107.648718445931,126.655839233401,108.096514717482,90,-4.22427720987191,-12.2424636339381,-2.94441195118355
